STT,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,738,32,54,13.5369198,11.8887,-1216.3862123999997,-0.12175737349053362,2014-03-20,2014-04-22,33 days 00:00:00.000000000
1,742,120,145,11.835123000000001,12.1653,244.9913339999993,0.02789806240290016,2014-07-28,2014-09-03,37 days 00:00:00.000000000
2,740,145,175,12.189630600000001,10.8589,-984.7406440000005,-0.10916906702652673,2014-09-03,2014-10-15,42 days 00:00:00.000000000
3,630,237,238,12.7622736,13.2267,292.58863199999934,0.03639056915375938,2015-01-13,2015-01-14,1 days 00:00:00.000000000
4,629,238,246,13.253153399999999,14.2064,599.592111400001,0.07192602177229768,2015-01-14,2015-01-26,12 days 00:00:00.000000000
5,627,246,249,14.2348128,15.1046,545.3565743999995,0.061102819701288835,2015-01-26,2015-01-29,3 days 00:00:00.000000000
6,609,295,323,15.5438256,16.5098,588.2784095999991,0.06214521603999468,2015-04-13,2015-05-27,44 days 00:00:00.000000000
7,516,342,351,19.4875974,21.5232,1050.3709416000004,0.10445631435304592,2015-06-23,2015-07-06,13 days 00:00:00.000000000
8,462,397,401,24.0262566,25.788,813.9254508000001,0.07332575479111458,2015-09-09,2015-09-15,6 days 00:00:00.000000000
9,530,417,454,22.484980200000003,19.6351,-1510.4365060000007,-0.12674595105936548,2015-10-07,2015-11-27,51 days 00:00:00.000000000
10,656,553,561,15.8663694,16.4681,394.73527359999986,0.03792490801329751,2016-04-25,2016-05-09,14 days 00:00:00.000000000
11,638,585,625,16.954341,15.1108,-1176.1791580000001,-0.10873563295677491,2016-06-10,2016-08-05,56 days 00:00:00.000000000
12,580,781,822,16.6134606,17.5331,533.3908520000007,0.055355077556809684,2017-03-22,2017-05-23,62 days 00:00:00.000000000
13,579,822,826,17.5681662,18.5813,586.6044701999991,0.05766872811119006,2017-05-23,2017-05-29,6 days 00:00:00.000000000
14,508,927,936,21.184985400000002,21.4377,128.37901679999865,0.011928948508975523,2017-10-18,2017-10-31,13 days 00:00:00.000000000
15,506,936,943,21.4805754,23.4045,973.5058475999997,0.08956578509530977,2017-10-31,2017-11-09,9 days 00:00:00.000000000
16,472,980,981,25.126352400000002,26.5513,672.5752671999998,0.05671127974787127,2018-01-02,2018-01-03,1 days 00:00:00.000000000
17,391,996,997,32.0238198,32.4516,167.26205820000033,0.013358187832420931,2018-01-26,2018-01-29,3 days 00:00:00.000000000
18,275,1044,1048,46.1142444,39.3352,-1864.237209999999,-0.14700543157983514,2018-04-11,2018-04-17,6 days 00:00:00.000000000
19,337,1253,1260,32.073018,33.6316,525.2421340000004,0.048594803270462394,2019-02-13,2019-02-22,9 days 00:00:00.000000000
20,333,1268,1276,34.09305,36.5818,828.753750000001,0.07299874901189551,2019-03-06,2019-03-18,12 days 00:00:00.000000000
21,376,1352,1359,32.4179064,33.9266,567.2687936000003,0.04653889678699308,2019-07-08,2019-07-17,9 days 00:00:00.000000000
22,324,1401,1437,39.2660754,41.597,755.219570400001,0.059362301331495004,2019-09-16,2019-11-05,50 days 00:00:00.000000000
23,319,1466,1472,42.284400000000005,44.55,722.7263999999975,0.053580043704060776,2019-12-16,2019-12-24,8 days 00:00:00.000000000
24,318,1472,1483,44.6391,47.75,989.2662000000003,0.06969002511251343,2019-12-24,2020-01-09,16 days 00:00:00.000000000
25,400,1561,1562,38.0259,38.5,189.64,0.01246781798721397,2020-05-08,2020-05-11,3 days 00:00:00.000000000
26,399,1562,1574,38.577,42.75,1665.0270000000007,0.10817326386188664,2020-05-11,2020-05-27,16 days 00:00:00.000000000
